sequence	EC	count	dbcan_column
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.1	0	GT35
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.52	0	GT4
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.57	0	GT4
059bd1686e507efed01c12fd89a4e394	EC:2.4.99.18	0	GT66
059bd1686e507efed01c12fd89a4e394	EC:2.4.99.19	0	GT66
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.87	0	GT6
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.40	0	GT6
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.37	0	GT6, GT77
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.38	0	GT7
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.90	0	GT7
059bd1686e507efed01c12fd89a4e394	EC:2.4.2.43	0	GT83
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.44	0	GT8
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.58	0	GT8
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.2	0	PL10, PL1, PL2, PL3, PL9
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.23	0	PL11, PL4
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.24	0	PL11, PL26
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.8	0	PL12, PL21, PL37
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.7	0	PL13, PL21
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.3	0	PL14, PL15, PL17, PL18, PL32, PL36, PL5, PL6, PL7
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.1	0	PL16, PL29, PL30, PL33, PL8
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.9	0	PL1, PL2, PL9
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.10	0	PL1
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.6	0	PL22
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.20	0	PL29, PL33, PL37, PL8
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.5	0	PL35, PL8
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.19	0	PL6
0765d0c4daa02f9d2306029ad054c930	EC:1.10.3.2	0	AA1
0765d0c4daa02f9d2306029ad054c930	EC:1.1.99.18	0	AA3
0765d0c4daa02f9d2306029ad054c930	EC:1.1.3.9	0	AA5
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.3	0	CE10
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.7	0	CE10
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.8	0	CE10
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.13	0	CE10
0765d0c4daa02f9d2306029ad054c930	EC:3.5.1.10	0	CE11
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.72	0	CE12, CE1, CE2, CE3, CE4, CE5, CE6, CE7
0765d0c4daa02f9d2306029ad054c930	EC:3.5.1.89	0	CE14
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.73	0	CE1
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.1	0	CE1
0765d0c4daa02f9d2306029ad054c930	EC:3.1.2.12	0	CE1
0765d0c4daa02f9d2306029ad054c930	EC:2.3.1.20	0	CE1
0765d0c4daa02f9d2306029ad054c930	EC:2.3.1.12	0	CE1
0765d0c4daa02f9d2306029ad054c930	EC:3.5.1.41	0	CE4
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.74	0	CE5
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.41	0	CE7
0765d0c4daa02f9d2306029ad054c930	EC:3.1.1.11	0	CE8
0765d0c4daa02f9d2306029ad054c930	EC:3.5.1.25	1	CE9
0765d0c4daa02f9d2306029ad054c930	EC:3.2.1.26	1	GH100, GH32, GH68
0765d0c4daa02f9d2306029ad054c930	EC:3.2.1.97	0	GH101
0765d0c4daa02f9d2306029ad054c930	EC:3.2.1.17	0	GH105, GH106, GH108, GH16, GH17, GH18, GH19, GH1, GH22, GH23, GH24, GH25, GH28, GH31, GH38, GH48, GH63, GH73, GH78, GH7, GH86
0765d0c4daa02f9d2306029ad054c930	EC:3.2.1.40	0	GH106, GH28, GH78
0765d0c4daa02f9d2306029ad054c930	EC:3.2.1.8	0	GH10, GH11, GH141, GH30, GH43, GH51, GH5, GH8, GH98
